wine_type,row_index,quality,y_order,repeat_id,fold_id,split
white,85,6,4,1,1,inner_fit
white,86,6,4,1,1,test
white,87,6,4,1,1,validation
white,88,5,3,1,1,inner_fit
white,89,6,4,1,1,test
white,90,6,4,1,1,test
white,91,5,3,1,1,inner_fit
white,92,7,5,1,1,inner_fit
white,93,7,5,1,1,inner_fit
white,94,7,5,1,1,inner_fit
white,95,6,4,1,1,test
white,96,6,4,1,1,inner_fit
white,97,7,5,1,1,inner_fit
white,98,4,2,1,1,test
white,99,6,4,1,1,test
white,100,5,3,1,1,test
white,101,5,3,1,1,inner_fit
white,102,5,3,1,1,test
white,103,5,3,1,1,inner_fit
white,104,5,3,1,1,validation
white,105,6,4,1,1,validation
white,106,5,3,1,1,inner_fit
white,107,6,4,1,1,inner_fit
white,108,6,4,1,1,validation
white,109,5,3,1,1,inner_fit
white,110,6,4,1,1,inner_fit
white,111,5,3,1,1,inner_fit
white,112,5,3,1,1,inner_fit
white,113,5,3,1,1,inner_fit
white,114,5,3,1,1,inner_fit
white,115,4,2,1,1,test
white,116,6,4,1,1,test
white,117,6,4,1,1,test
white,118,5,3,1,1,test
white,119,5,3,1,1,inner_fit
white,120,5,3,1,1,inner_fit
white,121,5,3,1,1,inner_fit
white,122,5,3,1,1,inner_fit
white,123,6,4,1,1,test
white,124,6,4,1,1,inner_fit
white,125,6,4,1,1,inner_fit
white,126,5,3,1,1,inner_fit
white,127,7,5,1,1,inner_fit
white,128,7,5,1,1,inner_fit
white,129,6,4,1,1,test
white,130,5,3,1,1,inner_fit
white,131,7,5,1,1,inner_fit
white,132,5,3,1,1,inner_fit
white,133,5,3,1,1,validation
white,134,5,3,1,1,inner_fit
white,135,5,3,1,1,validation
white,136,6,4,1,1,inner_fit
white,137,5,3,1,1,validation
white,138,7,5,1,1,inner_fit
white,139,6,4,1,1,inner_fit
white,140,5,3,1,1,inner_fit
white,141,5,3,1,1,test
white,142,6,4,1,1,inner_fit
white,143,6,4,1,1,test
white,144,6,4,1,1,inner_fit
white,145,6,4,1,1,test
white,146,6,4,1,1,inner_fit
white,147,4,2,1,1,inner_fit
white,148,7,5,1,1,inner_fit
white,149,6,4,1,1,inner_fit
white,150,7,5,1,1,inner_fit
white,151,6,4,1,1,test
white,152,6,4,1,1,inner_fit
white,153,5,3,1,1,inner_fit
white,154,6,4,1,1,validation
white,155,6,4,1,1,inner_fit
white,156,6,4,1,1,test
white,157,7,5,1,1,inner_fit
white,158,8,6,1,1,validation
white,159,8,6,1,1,validation
white,160,7,5,1,1,inner_fit
white,161,5,3,1,1,inner_fit
white,162,5,3,1,1,validation
white,163,6,4,1,1,inner_fit
white,164,5,3,1,1,validation
white,165,5,3,1,1,test
white,166,6,4,1,1,test
white,167,7,5,1,1,validation
white,168,5,3,1,1,inner_fit
white,169,5,3,1,1,test
white,170,6,4,1,1,inner_fit
white,171,6,4,1,1,validation
white,172,4,2,1,1,inner_fit
white,173,7,5,1,1,inner_fit
white,174,5,3,1,1,inner_fit
white,175,6,4,1,1,validation
white,176,4,2,1,1,inner_fit
white,177,5,3,1,1,inner_fit
white,178,4,2,1,1,inner_fit
white,179,6,4,1,1,validation
white,180,6,4,1,1,inner_fit
white,181,5,3,1,1,inner_fit
white,182,5,3,1,1,inner_fit
white,183,6,4,1,1,inner_fit
white,184,5,3,1,1,inner_fit
white,185,5,3,1,1,inner_fit
white,186,6,4,1,1,inner_fit
white,187,5,3,1,1,inner_fit
white,188,8,6,1,1,inner_fit
white,189,4,2,1,1,inner_fit
white,190,6,4,1,1,inner_fit
white,191,5,3,1,1,inner_fit
white,192,6,4,1,1,validation
white,193,5,3,1,1,inner_fit
white,194,5,3,1,1,validation
white,195,6,4,1,1,validation
white,196,5,3,1,1,validation
white,197,5,3,1,1,test
white,198,5,3,1,1,test
white,199,5,3,1,1,validation
white,200,5,3,1,1,inner_fit
white,201,5,3,1,1,validation
white,202,5,3,1,1,inner_fit
white,203,6,4,1,1,inner_fit
white,204,4,2,1,1,inner_fit
white,205,5,3,1,1,inner_fit
white,206,5,3,1,1,inner_fit
white,207,4,2,1,1,inner_fit
white,208,5,3,1,1,inner_fit
white,209,6,4,1,1,inner_fit
white,210,5,3,1,1,inner_fit
white,211,7,5,1,1,inner_fit
white,212,5,3,1,1,validation
white,213,6,4,1,1,inner_fit
white,214,7,5,1,1,inner_fit
white,215,5,3,1,1,inner_fit
white,216,5,3,1,1,inner_fit
white,217,5,3,1,1,inner_fit
white,218,5,3,1,1,test
white,219,5,3,1,1,validation
white,220,5,3,1,1,validation
white,221,6,4,1,1,inner_fit
white,222,7,5,1,1,inner_fit
white,223,6,4,1,1,inner_fit
white,224,6,4,1,1,inner_fit
white,225,5,3,1,1,inner_fit
white,226,6,4,1,1,inner_fit
white,227,6,4,1,1,inner_fit
white,228,6,4,1,1,inner_fit
white,229,5,3,1,1,inner_fit
white,230,4,2,1,1,inner_fit
white,231,6,4,1,1,test
white,232,6,4,1,1,test
white,233,6,4,1,1,inner_fit
white,234,6,4,1,1,test
white,235,6,4,1,1,inner_fit
white,236,6,4,1,1,validation
white,237,6,4,1,1,inner_fit
white,238,7,5,1,1,test
white,239,6,4,1,1,inner_fit
white,240,5,3,1,1,inner_fit
white,241,5,3,1,1,validation
white,242,7,5,1,1,inner_fit
white,243,6,4,1,1,inner_fit
white,244,5,3,1,1,inner_fit
white,245,6,4,1,1,test
white,246,7,5,1,1,inner_fit
white,247,7,5,1,1,inner_fit
white,248,7,5,1,1,validation
white,249,5,3,1,1,inner_fit
white,250,4,2,1,1,inner_fit
white,251,3,1,1,1,validation
white,252,5,3,1,1,inner_fit
white,253,3,1,1,1,inner_fit
white,254,6,4,1,1,test
white,255,8,6,1,1,inner_fit
white,256,7,5,1,1,inner_fit
white,257,7,5,1,1,inner_fit
white,258,6,4,1,1,inner_fit
white,259,4,2,1,1,test
white,260,6,4,1,1,inner_fit
white,261,5,3,1,1,inner_fit
white,262,5,3,1,1,inner_fit
white,263,6,4,1,1,inner_fit
white,264,6,4,1,1,test
white,265,5,3,1,1,inner_fit
white,266,6,4,1,1,validation
white,267,5,3,1,1,inner_fit
white,268,6,4,1,1,validation
white,269,6,4,1,1,inner_fit
white,270,6,4,1,1,test
white,271,5,3,1,1,test
white,272,5,3,1,1,inner_fit
white,273,5,3,1,1,test
white,274,5,3,1,1,test
white,275,6,4,1,1,test
white,276,6,4,1,1,inner_fit
white,277,5,3,1,1,inner_fit
white,278,4,2,1,1,inner_fit
white,279,7,5,1,1,test
white,280,8,6,1,1,inner_fit
white,281,8,6,1,1,validation
white,282,4,2,1,1,test
white,283,5,3,1,1,inner_fit
white,284,5,3,1,1,validation
white,285,5,3,1,1,inner_fit
white,286,6,4,1,1,test
white,287,7,5,1,1,inner_fit
white,288,7,5,1,1,validation
white,289,7,5,1,1,inner_fit
white,290,7,5,1,1,validation
white,291,6,4,1,1,inner_fit
white,292,5,3,1,1,inner_fit
white,293,7,5,1,1,inner_fit
white,294,3,1,1,1,inner_fit
white,295,6,4,1,1,test
white,296,5,3,1,1,inner_fit
white,297,7,5,1,1,test
white,298,6,4,1,1,inner_fit
white,299,6,4,1,1,inner_fit
white,300,6,4,1,1,inner_fit
white,301,6,4,1,1,inner_fit
white,302,6,4,1,1,test
white,303,6,4,1,1,inner_fit
white,304,6,4,1,1,test
white,305,6,4,1,1,test
white,306,5,3,1,1,inner_fit
white,307,6,4,1,1,inner_fit
white,308,7,5,1,1,test
white,309,6,4,1,1,test
white,310,7,5,1,1,inner_fit
white,311,8,6,1,1,inner_fit
white,312,6,4,1,1,test
white,313,6,4,1,1,inner_fit
white,314,5,3,1,1,inner_fit
white,315,6,4,1,1,inner_fit
white,316,6,4,1,1,validation
white,317,5,3,1,1,inner_fit
white,318,7,5,1,1,inner_fit
white,319,6,4,1,1,inner_fit
white,320,7,5,1,1,test
white,321,5,3,1,1,inner_fit
white,322,6,4,1,1,inner_fit
white,323,6,4,1,1,inner_fit
white,324,5,3,1,1,inner_fit
white,325,5,3,1,1,test
white,326,6,4,1,1,inner_fit
white,327,6,4,1,1,inner_fit
white,328,6,4,1,1,inner_fit
white,329,5,3,1,1,test
white,330,8,6,1,1,inner_fit
white,331,5,3,1,1,validation
white,332,6,4,1,1,inner_fit
white,333,5,3,1,1,test
white,334,5,3,1,1,validation
white,335,6,4,1,1,test
white,336,6,4,1,1,inner_fit
white,337,6,4,1,1,test
white,338,5,3,1,1,test
white,339,7,5,1,1,inner_fit
white,340,7,5,1,1,inner_fit
white,341,6,4,1,1,inner_fit
white,342,6,4,1,1,test
white,343,5,3,1,1,inner_fit
white,344,6,4,1,1,test
white,345,6,4,1,1,validation
white,346,7,5,1,1,inner_fit
white,347,6,4,1,1,inner_fit
white,348,6,4,1,1,inner_fit
white,349,5,3,1,1,inner_fit
white,350,7,5,1,1,inner_fit
white,351,7,5,1,1,inner_fit
white,352,6,4,1,1,validation
white,353,7,5,1,1,inner_fit
white,354,6,4,1,1,inner_fit
white,355,6,4,1,1,validation
white,356,6,4,1,1,inner_fit
white,357,6,4,1,1,validation
white,358,6,4,1,1,inner_fit
white,359,6,4,1,1,inner_fit
white,360,6,4,1,1,inner_fit
white,361,5,3,1,1,inner_fit
white,362,6,4,1,1,inner_fit
white,363,6,4,1,1,inner_fit
white,364,7,5,1,1,inner_fit
white,365,7,5,1,1,validation
white,366,6,4,1,1,inner_fit
white,367,6,4,1,1,inner_fit
white,368,6,4,1,1,test
white,369,5,3,1,1,validation
white,370,6,4,1,1,inner_fit
white,371,6,4,1,1,inner_fit
white,372,5,3,1,1,inner_fit
white,373,6,4,1,1,inner_fit
white,374,7,5,1,1,inner_fit
white,375,7,5,1,1,validation
white,376,7,5,1,1,inner_fit
white,377,7,5,1,1,inner_fit
white,378,6,4,1,1,test
white,379,7,5,1,1,inner_fit
white,380,7,5,1,1,inner_fit
white,381,6,4,1,1,inner_fit
white,382,6,4,1,1,test
white,383,6,4,1,1,test
white,384,7,5,1,1,validation
white,385,7,5,1,1,test
white,386,7,5,1,1,test
white,387,5,3,1,1,inner_fit
white,388,6,4,1,1,inner_fit
white,389,7,5,1,1,inner_fit
white,390,7,5,1,1,inner_fit
white,391,5,3,1,1,inner_fit
white,392,6,4,1,1,inner_fit
white,393,6,4,1,1,test
white,394,5,3,1,1,test
white,395,5,3,1,1,inner_fit
white,396,5,3,1,1,inner_fit
white,397,6,4,1,1,inner_fit
white,398,5,3,1,1,test
white,399,6,4,1,1,inner_fit
white,400,6,4,1,1,test
white,401,5,3,1,1,validation
white,402,5,3,1,1,test
white,403,5,3,1,1,test
white,404,6,4,1,1,test
white,405,5,3,1,1,inner_fit
white,406,7,5,1,1,validation
white,407,5,3,1,1,validation
white,408,6,4,1,1,test
white,409,5,3,1,1,inner_fit
white,410,6,4,1,1,validation
white,411,6,4,1,1,inner_fit
white,412,5,3,1,1,inner_fit
white,413,5,3,1,1,test
white,414,6,4,1,1,test
white,415,6,4,1,1,validation
white,416,6,4,1,1,inner_fit
white,417,5,3,1,1,validation
white,418,6,4,1,1,inner_fit
white,419,6,4,1,1,inner_fit
white,420,7,5,1,1,inner_fit
white,421,6,4,1,1,inner_fit
white,422,6,4,1,1,inner_fit
white,423,6,4,1,1,validation
white,424,7,5,1,1,test
white,425,6,4,1,1,validation
white,426,6,4,1,1,inner_fit
white,427,5,3,1,1,inner_fit
white,428,5,3,1,1,inner_fit
white,429,5,3,1,1,validation
white,430,5,3,1,1,test
white,431,5,3,1,1,inner_fit
white,432,7,5,1,1,test
white,433,4,2,1,1,test
white,434,8,6,1,1,inner_fit
white,435,7,5,1,1,inner_fit
white,436,5,3,1,1,inner_fit
white,437,8,6,1,1,inner_fit
white,438,7,5,1,1,inner_fit
white,439,5,3,1,1,inner_fit
white,440,7,5,1,1,inner_fit
white,441,6,4,1,1,inner_fit
white,442,8,6,1,1,inner_fit
white,443,6,4,1,1,inner_fit
white,444,6,4,1,1,inner_fit
white,445,3,1,1,1,inner_fit
white,446,5,3,1,1,test
white,447,6,4,1,1,validation
white,448,6,4,1,1,inner_fit
white,449,7,5,1,1,test
white,450,5,3,1,1,validation
white,451,5,3,1,1,inner_fit
white,452,7,5,1,1,test
white,453,7,5,1,1,inner_fit
white,454,7,5,1,1,inner_fit
white,455,6,4,1,1,validation
white,456,7,5,1,1,inner_fit
white,457,5,3,1,1,inner_fit
white,458,6,4,1,1,test
white,459,5,3,1,1,inner_fit
white,460,5,3,1,1,inner_fit
white,461,5,3,1,1,inner_fit
white,462,5,3,1,1,inner_fit
white,463,6,4,1,1,inner_fit
white,464,5,3,1,1,inner_fit
white,465,5,3,1,1,validation
white,466,6,4,1,1,inner_fit
white,467,6,4,1,1,inner_fit
white,468,5,3,1,1,inner_fit
white,469,5,3,1,1,inner_fit
white,470,6,4,1,1,test
white,471,5,3,1,1,inner_fit
white,472,6,4,1,1,validation
white,473,7,5,1,1,inner_fit
white,474,6,4,1,1,inner_fit
white,475,5,3,1,1,inner_fit
white,476,7,5,1,1,inner_fit
white,477,6,4,1,1,inner_fit
white,478,6,4,1,1,test
white,479,6,4,1,1,inner_fit
white,480,5,3,1,1,test
white,481,6,4,1,1,inner_fit
white,482,5,3,1,1,inner_fit
white,483,5,3,1,1,inner_fit
white,484,5,3,1,1,inner_fit
white,485,6,4,1,1,validation
white,486,6,4,1,1,validation
white,487,6,4,1,1,inner_fit
white,488,6,4,1,1,inner_fit
white,489,6,4,1,1,inner_fit
white,490,6,4,1,1,test
white,491,7,5,1,1,inner_fit
white,492,6,4,1,1,inner_fit
white,493,6,4,1,1,inner_fit
white,494,6,4,1,1,inner_fit
white,495,6,4,1,1,validation
white,496,4,2,1,1,validation
white,497,6,4,1,1,inner_fit
white,498,5,3,1,1,inner_fit
white,499,4,2,1,1,test
white,500,6,4,1,1,validation
white,501,6,4,1,1,validation
white,502,6,4,1,1,validation
white,503,5,3,1,1,inner_fit
white,504,6,4,1,1,inner_fit
white,505,6,4,1,1,test
white,506,5,3,1,1,test
white,507,7,5,1,1,validation
white,508,6,4,1,1,inner_fit
white,509,7,5,1,1,inner_fit
white,510,6,4,1,1,inner_fit
white,511,6,4,1,1,inner_fit
white,512,6,4,1,1,inner_fit
white,513,6,4,1,1,validation
white,514,7,5,1,1,inner_fit
white,515,6,4,1,1,inner_fit
white,516,5,3,1,1,inner_fit
white,517,6,4,1,1,inner_fit
white,518,6,4,1,1,inner_fit
white,519,5,3,1,1,test
white,520,5,3,1,1,validation
white,521,5,3,1,1,inner_fit
white,522,6,4,1,1,inner_fit
white,523,6,4,1,1,inner_fit
white,524,5,3,1,1,inner_fit
white,525,6,4,1,1,test
white,526,4,2,1,1,inner_fit
white,527,6,4,1,1,inner_fit
white,528,6,4,1,1,inner_fit
white,529,6,4,1,1,validation
white,530,6,4,1,1,inner_fit
white,531,5,3,1,1,inner_fit
white,532,6,4,1,1,inner_fit
white,533,6,4,1,1,validation
white,534,6,4,1,1,validation
white,535,5,3,1,1,inner_fit
white,536,5,3,1,1,inner_fit
white,537,6,4,1,1,inner_fit
white,538,5,3,1,1,inner_fit
white,539,6,4,1,1,inner_fit
white,540,4,2,1,1,inner_fit
white,541,5,3,1,1,inner_fit
white,542,6,4,1,1,inner_fit
white,543,6,4,1,1,inner_fit
white,544,6,4,1,1,inner_fit
white,545,6,4,1,1,inner_fit
white,546,6,4,1,1,inner_fit
white,547,6,4,1,1,validation
white,548,7,5,1,1,validation
white,549,5,3,1,1,inner_fit
white,550,7,5,1,1,inner_fit
white,551,7,5,1,1,inner_fit
white,552,7,5,1,1,inner_fit
white,553,7,5,1,1,validation
white,554,7,5,1,1,validation
white,555,7,5,1,1,inner_fit
white,556,5,3,1,1,test
white,557,6,4,1,1,inner_fit
white,558,5,3,1,1,validation
white,559,6,4,1,1,test
white,560,7,5,1,1,validation
white,561,5,3,1,1,inner_fit
white,562,6,4,1,1,test
white,563,7,5,1,1,inner_fit
white,564,5,3,1,1,test
white,565,6,4,1,1,inner_fit
white,566,6,4,1,1,inner_fit
white,567,5,3,1,1,inner_fit
white,568,6,4,1,1,test
white,569,6,4,1,1,test
white,570,5,3,1,1,validation
white,571,7,5,1,1,inner_fit
white,572,5,3,1,1,inner_fit
white,573,7,5,1,1,validation
white,574,7,5,1,1,validation
white,575,6,4,1,1,test
white,576,6,4,1,1,validation
white,577,7,5,1,1,inner_fit
white,578,7,5,1,1,inner_fit
white,579,7,5,1,1,validation
white,580,5,3,1,1,validation
white,581,5,3,1,1,validation
white,582,6,4,1,1,inner_fit
white,583,6,4,1,1,inner_fit
white,584,7,5,1,1,inner_fit
white,585,6,4,1,1,inner_fit
white,586,6,4,1,1,test
white,587,7,5,1,1,inner_fit
white,588,7,5,1,1,test
white,589,6,4,1,1,test
white,590,5,3,1,1,inner_fit
white,591,6,4,1,1,validation
white,592,5,3,1,1,inner_fit
white,593,5,3,1,1,inner_fit
white,594,5,3,1,1,inner_fit
white,595,7,5,1,1,inner_fit
white,596,5,3,1,1,validation
white,597,6,4,1,1,inner_fit
white,598,8,6,1,1,inner_fit
white,599,7,5,1,1,inner_fit
white,600,6,4,1,1,inner_fit
white,601,6,4,1,1,inner_fit
white,602,5,3,1,1,validation
white,603,5,3,1,1,inner_fit
white,604,6,4,1,1,inner_fit
white,605,6,4,1,1,inner_fit
white,606,5,3,1,1,test
white,607,5,3,1,1,inner_fit
white,608,5,3,1,1,validation
white,609,6,4,1,1,test
white,610,8,6,1,1,inner_fit
white,611,6,4,1,1,inner_fit
white,612,5,3,1,1,test
white,613,5,3,1,1,inner_fit
white,614,5,3,1,1,test
white,615,5,3,1,1,inner_fit
white,616,7,5,1,1,inner_fit
white,617,6,4,1,1,validation
white,618,6,4,1,1,inner_fit
white,619,6,4,1,1,validation
white,620,5,3,1,1,validation
white,621,5,3,1,1,inner_fit
white,622,6,4,1,1,inner_fit
white,623,5,3,1,1,test
white,624,5,3,1,1,inner_fit
white,625,8,6,1,1,inner_fit
white,626,4,2,1,1,test
white,627,6,4,1,1,inner_fit
white,628,6,4,1,1,inner_fit
white,629,6,4,1,1,inner_fit
white,630,5,3,1,1,inner_fit
white,631,5,3,1,1,test
white,632,6,4,1,1,test
white,633,5,3,1,1,inner_fit
white,634,6,4,1,1,inner_fit
white,635,6,4,1,1,inner_fit
white,636,7,5,1,1,inner_fit
white,637,5,3,1,1,inner_fit
white,638,5,3,1,1,inner_fit
white,639,5,3,1,1,inner_fit
white,640,7,5,1,1,inner_fit
white,641,4,2,1,1,test
white,642,6,4,1,1,inner_fit
white,643,5,3,1,1,inner_fit
white,644,5,3,1,1,inner_fit
white,645,5,3,1,1,test
white,646,4,2,1,1,inner_fit
white,647,6,4,1,1,inner_fit
white,648,5,3,1,1,test
white,649,7,5,1,1,inner_fit
white,650,7,5,1,1,inner_fit
white,651,7,5,1,1,inner_fit
white,652,7,5,1,1,inner_fit
white,653,6,4,1,1,inner_fit
white,654,7,5,1,1,inner_fit
white,655,6,4,1,1,inner_fit
white,656,6,4,1,1,inner_fit
white,657,5,3,1,1,test
white,658,5,3,1,1,inner_fit
white,659,4,2,1,1,inner_fit
white,660,5,3,1,1,inner_fit
white,661,7,5,1,1,inner_fit
white,662,4,2,1,1,inner_fit
white,663,5,3,1,1,validation
white,664,6,4,1,1,test
white,665,5,3,1,1,test
white,666,6,4,1,1,inner_fit
white,667,6,4,1,1,test
white,668,6,4,1,1,inner_fit
white,669,5,3,1,1,inner_fit
white,670,6,4,1,1,inner_fit
white,671,6,4,1,1,inner_fit
white,672,8,6,1,1,test
white,673,6,4,1,1,inner_fit
white,674,5,3,1,1,inner_fit
white,675,6,4,1,1,test
white,676,6,4,1,1,test
white,677,7,5,1,1,test
white,678,7,5,1,1,test
white,679,7,5,1,1,inner_fit
white,680,5,3,1,1,inner_fit
white,681,5,3,1,1,inner_fit
white,682,6,4,1,1,inner_fit
white,683,5,3,1,1,validation
white,684,5,3,1,1,inner_fit
white,685,5,3,1,1,inner_fit
white,686,7,5,1,1,validation
white,687,4,2,1,1,validation
white,688,6,4,1,1,validation
white,689,7,5,1,1,validation
white,690,4,2,1,1,inner_fit
white,691,6,4,1,1,test
white,692,5,3,1,1,inner_fit
white,693,5,3,1,1,inner_fit
white,694,6,4,1,1,inner_fit
white,695,5,3,1,1,inner_fit
white,696,6,4,1,1,inner_fit
white,697,5,3,1,1,inner_fit
white,698,5,3,1,1,test
white,699,5,3,1,1,inner_fit
white,700,5,3,1,1,inner_fit
white,701,7,5,1,1,inner_fit
white,702,4,2,1,1,test
white,703,6,4,1,1,inner_fit
white,704,6,4,1,1,validation
white,705,5,3,1,1,inner_fit
white,706,5,3,1,1,test
white,707,6,4,1,1,validation
white,708,6,4,1,1,test
white,709,5,3,1,1,inner_fit
white,710,5,3,1,1,validation
white,711,6,4,1,1,inner_fit
white,712,6,4,1,1,inner_fit
white,713,5,3,1,1,validation
white,714,6,4,1,1,inner_fit
white,715,7,5,1,1,inner_fit
white,716,6,4,1,1,validation
white,717,5,3,1,1,inner_fit
white,718,7,5,1,1,validation
white,719,7,5,1,1,inner_fit
white,720,5,3,1,1,test
white,721,5,3,1,1,inner_fit
white,722,6,4,1,1,validation
white,723,8,6,1,1,test
white,724,7,5,1,1,inner_fit
white,725,5,3,1,1,test
white,726,7,5,1,1,inner_fit
white,727,5,3,1,1,inner_fit
white,728,5,3,1,1,inner_fit
white,729,5,3,1,1,inner_fit
white,730,6,4,1,1,test
white,731,6,4,1,1,inner_fit
white,732,7,5,1,1,test
white,733,6,4,1,1,test
white,734,5,3,1,1,inner_fit
white,735,6,4,1,1,inner_fit
white,736,6,4,1,1,inner_fit
white,737,5,3,1,1,inner_fit
white,738,7,5,1,1,validation
white,739,6,4,1,1,inner_fit
white,740,3,1,1,1,inner_fit
white,741,6,4,1,1,validation
white,742,6,4,1,1,validation
white,743,5,3,1,1,inner_fit
white,744,5,3,1,1,test
white,745,6,4,1,1,inner_fit
white,746,6,4,1,1,validation
white,747,6,4,1,1,inner_fit
white,748,6,4,1,1,inner_fit
white,749,6,4,1,1,test
white,750,6,4,1,1,inner_fit
white,751,6,4,1,1,test
white,752,6,4,1,1,inner_fit
white,753,6,4,1,1,inner_fit
white,754,5,3,1,1,inner_fit
white,755,7,5,1,1,validation
white,756,5,3,1,1,inner_fit
white,757,6,4,1,1,inner_fit
white,758,7,5,1,1,inner_fit
white,759,7,5,1,1,inner_fit
white,760,6,4,1,1,inner_fit
white,761,6,4,1,1,inner_fit
white,762,5,3,1,1,test
white,763,6,4,1,1,inner_fit
white,764,6,4,1,1,inner_fit
white,765,6,4,1,1,inner_fit
white,766,5,3,1,1,inner_fit
white,767,6,4,1,1,inner_fit
white,768,7,5,1,1,inner_fit
white,769,7,5,1,1,test
white,770,7,5,1,1,inner_fit
white,771,7,5,1,1,inner_fit
white,772,7,5,1,1,inner_fit
white,773,5,3,1,1,validation
white,774,9,7,1,1,test
white,775,6,4,1,1,validation
white,776,6,4,1,1,inner_fit
white,777,5,3,1,1,inner_fit
white,778,7,5,1,1,inner_fit
white,779,8,6,1,1,validation
white,780,4,2,1,1,validation
white,781,6,4,1,1,inner_fit
white,782,7,5,1,1,test
white,783,8,6,1,1,inner_fit
white,784,5,3,1,1,inner_fit
white,785,6,4,1,1,test
white,786,6,4,1,1,inner_fit
white,787,6,4,1,1,inner_fit
white,788,7,5,1,1,inner_fit
white,789,6,4,1,1,validation
white,790,6,4,1,1,validation
white,791,7,5,1,1,inner_fit
white,792,5,3,1,1,inner_fit
white,793,7,5,1,1,inner_fit
white,794,5,3,1,1,inner_fit
white,795,5,3,1,1,inner_fit
white,796,6,4,1,1,test
white,797,6,4,1,1,validation
white,798,6,4,1,1,inner_fit
white,799,8,6,1,1,inner_fit
white,800,6,4,1,1,validation
white,801,5,3,1,1,test
white,802,5,3,1,1,validation
white,803,7,5,1,1,inner_fit
white,804,6,4,1,1,inner_fit
white,805,6,4,1,1,test
white,806,5,3,1,1,validation
white,807,6,4,1,1,inner_fit
white,808,6,4,1,1,inner_fit
white,809,6,4,1,1,test
white,810,5,3,1,1,test
white,811,6,4,1,1,inner_fit
white,812,7,5,1,1,test
white,813,6,4,1,1,inner_fit
white,814,6,4,1,1,validation
white,815,5,3,1,1,test
white,816,5,3,1,1,inner_fit
white,817,5,3,1,1,inner_fit
white,818,5,3,1,1,inner_fit
white,819,5,3,1,1,inner_fit
white,820,9,7,1,1,inner_fit
white,821,6,4,1,1,test
white,822,5,3,1,1,inner_fit
white,823,6,4,1,1,validation
white,824,5,3,1,1,validation
white,825,6,4,1,1,test
white,826,6,4,1,1,test
white,827,9,7,1,1,inner_fit
white,828,7,5,1,1,inner_fit
white,829,7,5,1,1,inner_fit
white,830,6,4,1,1,test
white,831,4,2,1,1,validation
white,832,8,6,1,1,inner_fit
white,833,6,4,1,1,inner_fit
white,834,6,4,1,1,test
